Order ID,Order Date,Customer Name,Region,Product Name,Category,Sales,Quantity,Profit,City
ORD1001,2026-01-05,Aftab Khan,North,Laptop,Technology,55000,1,8000,Delhi
ORD1002,2026-01-07,Rahul Sharma,West,Office Chair,Furniture,7500,2,1200,Mumbai
ORD1003,2026-01-10,Sneha Verma,East,Wireless Mouse,Technology,1200,3,300,Kolkata
ORD1004,2026-01-12,Aman Gupta,South,Notebook,Stationery,450,5,90,Bangalore
ORD1005,2026-01-15,Priya Singh,North,Smartphone,Technology,32000,1,5000,Delhi
ORD1006,2026-01-18,Rohit Yadav,West,Desk,Furniture,9500,1,1500,Pune
ORD1007,2026-01-20,Neha Kapoor,East,Printer,Technology,8500,1,1300,Kolkata
ORD1008,2026-01-22,Vikas Mishra,South,Pen Set,Stationery,300,10,60,Hyderabad
ORD1009,2026-01-25,Anjali Mehta,North,Monitor,Technology,15000,2,2500,Delhi
ORD1010,2026-01-28,Karan Patel,West,Bookshelf,Furniture,6800,1,1100,Mumbai
ORD1011,2026-02-02,Simran Kaur,East,Keyboard,Technology,2200,2,450,Bhubaneswar
ORD1012,2026-02-05,Arjun Nair,South,Water Bottle,Accessories,600,4,120,Chennai
ORD1013,2026-02-08,Pooja Sharma,North,Tablet,Technology,27000,1,4200,Lucknow
ORD1014,2026-02-11,Deepak Kumar,West,Sofa,Furniture,25000,1,4000,Ahmedabad
ORD1015,2026-02-14,Ritika Jain,East,Headphones,Technology,3500,2,700,Patna
ORD1016,2026-02-17,Sachin Verma,South,Backpack,Accessories,1800,3,350,Bangalore
ORD1017,2026-02-20,Meera Joshi,North,Camera,Technology,42000,1,6500,Delhi
ORD1018,2026-02-23,Nikhil Arora,West,Coffee Table,Furniture,5200,1,900,Surat
ORD1019,2026-02-26,Tanya Bhatia,East,USB Cable,Technology,400,6,80,Guwahati
ORD1020,2026-02-28,Aditya Roy,South,Whiteboard,Stationery,2500,1,500,Chennai
ORD1021,2026-03-01,Aftab Khan,North,Laptop,Technology,55000,1,8000,Delhi
ORD1022,2026-03-03,Rahul Sharma,West,Office Chair,Furniture,7500,2,1200,Mumbai
ORD1023,2026-03-05,,East,Wireless Mouse,Technology,1200,3,300,Kolkata
ORD1024,2026-03-07,Aman Gupta,South,Notebook,Stationery,450,5,90,Bangalore
ORD1025,2026-03-09,Priya Singh,North,Smartphone,Technology,32000,1,5000,Lucknow
ORD1026,2026-03-11,Rohit Yadav,West,Desk,Furniture,9500,1,1500,Pune
ORD1027,2026-03-13,Neha Kapoor,East,Printer,Technology,,1,1300,Kolkata
ORD1028,2026-03-15,Vikas Mishra,South,Pen Set,Stationery,300,10,60,Hyderabad
ORD1029,2026-03-17,Anjali Mehta,North,Monitor,Technology,15000,2,2500,Delhi
ORD1030,2026-03-19,Karan Patel,West,Bookshelf,Furniture,6800,1,1100,Mumbai
ORD1031,2026-03-21,Simran Kaur,East,Keyboard,Technology,2200,2,,Patna
ORD1032,2026-03-23,Arjun Nair,South,Water Bottle,Accessories,600,4,120,Chennai
ORD1033,2026-03-25,Pooja Sharma,North,Tablet,Technology,27000,1,4200,Lucknow
ORD1034,2026-03-27,Deepak Kumar,West,Sofa,Furniture,25000,1,4000,Ahmedabad
ORD1035,2026-03-29,Ritika Jain,East,Headphones,Technology,3500,2,700,Bhubaneswar
ORD1036,2026-03-31,Sachin Verma,South,Backpack,Accessories,1800,,350,Bangalore
ORD1037,2026-04-02,Meera Joshi,North,Camera,Technology,42000,1,6500,Delhi
ORD1038,2026-04-04,Nikhil Arora,West,Coffee Table,Furniture,5200,1,900,Surat
ORD1039,2026-04-06,Tanya Bhatia,East,USB Cable,Technology,400,6,80,Guwahati
ORD1040,2026-04-08,Aditya Roy,South,Whiteboard,Stationery,2500,1,500,Chennai
ORD1041,2026-04-10,Aftab Khan,North,Laptop,Technology,55000,1,8000,Delhi
ORD1042,2026-04-12,Rahul Sharma,West,Office Chair,Furniture,7500,2,1200,Mumbai
ORD1043,2026-04-14,Sneha Verma,East,Wireless Mouse,Technology,1200,3,300,Kolkata
ORD1044,2026-04-16,Aman Gupta,South,Notebook,Stationery,450,5,90,Bangalore
ORD1045,2026-04-18,Priya Singh,North,Smartphone,Technology,32000,1,5000,Lucknow
ORD1046,2026-04-20,Rohit Yadav,West,Desk,Furniture,9500,1,1500,Pune
ORD1047,2026-04-22,Neha Kapoor,East,Printer,Technology,8500,1,1300,Kolkata
ORD1048,2026-04-24,Vikas Mishra,South,Pen Set,Stationery,300,10,60,Hyderabad
ORD1049,2026-04-26,Anjali Mehta,North,Monitor,Technology,15000,2,2500,Delhi
ORD1050,2026-04-28,Karan Patel,West,Bookshelf,Furniture,6800,1,1100,Mumbai
ORD1002,2026-01-07,Rahul Sharma,West,Office Chair,Furniture,7500,2,1200,Mumbai
ORD1015,2026-02-14,Ritika Jain,East,Headphones,Technology,3500,2,700,Patna
